Type,Agriculture,Mining,Manufacturing,EGW,Construction,Public,All_other_industries,Households,Imports,Subtype
Masonry materials,23646,42850,23443,11303,49823,15983,50158,-,-,Asphalt
,46313,83697,159336,22154,169935,31305,152421,26360,-,Bricks
,146347,151672,145673,69924,137547,98923,169417,47732,-,Concrete
,164075,155408,164818,78150,13935,110906,159466,158883,-,Rubble 
,98230,24708,129140,14221,84467,16640,128370,10488,-,Plasterboard & cement sheeting
Metals,78185,152682,159760,34285,149371,52849,158510,161129,153095,Steel
,59906,14838,77701,25930,55869,40530,127184,74545,11531,Aluminium
,43609,10576,55527,150600,44894,29530,92673,60186,13569,NonFerrous metals 
Organics,27925,19365,159914,27750,163184,18876,162368,113790,164882,Food organics
,23449,68996,124742,11624,14379,15851,47423,165043,-,Garden organics
,43285,85634,157144,22524,168380,29259,165196,139390,23652,Timber
,26968,84171,137154,13437,168501,18229,162068,142523,37580,Other organics
,35437,110601,152872,17646,150381,23954,151719,-,-,NonContaminated biosolids
Paper & Cardboard,66757,153601,153135,28161,167822,45125,141101,127761,15591,Cardboard
,15002,40020,12087,64000,94300,10200,13216,16673,-,Liquid paperboard
,70880,18777,97565,29810,44108,47910,105346,162918,-,Newsprint & magazines
,43380,11495,59725,11824,26980,12932,92027,44626,-,Office paper
Plastics,14840,39320,20433,16240,19230,10030,31484,146695,13200,Polyethylene terephthalate
,17595,19302,100766,13250,61810,51340,161116,141976,-,High density polyethylene
,16060,14306,22690,17000,11086,11200,13518,33911,17300,Polyvinyl chloride
,88430,23431,121746,13719,54996,15978,157593,32400,-,Low density polyethylene
,33130,18779,45615,1393,20606,22400,70286,62632,-,Polypropylene
,18704,12299,11953,10369,15732,10591,18537,78640,60300,Polystyrene
,57440,14838,77316,12442,42497,38830,121852,166811,10065,Other plastics
Glass,16623,17364,90327,27980,44455,14477,140492,153645,18563,Glass
Textiles,58005,10160,54660,23400,88470,13410,10712,147094,13398,Textiles
,10520,27874,144827,44240,65423,71101,153157,65530,-,Leather & rubber
Hazardous,91950,24364,126591,3867,57185,62160,115057,-,15415,Tyres
,45248,158392,158582,63926,168491,98180,158091,-,150917,Other hazardous waste
Ash,-,38965,165136,162523,-,-,-,-,-,Ash from coalfired power stations
Other,151200,78540,40882,127600,21002,163600,63903,140674,-,Other unclassified materials
